시도,시군구,사고년도,2023,,,,,
대전,동구,사망[명],-,-,5,-,2,0
대전,동구,부상[명],-,-,"1,596",-,22,6
대전,중구,사고[건],-,-,953,-,3,143
대전,중구,사망[명],-,-,7,-,0,0
대전,중구,부상[명],-,-,"1,345",-,5,192
대전,서구,사고[건],-,-,"2,419",-,4,9
대전,서구,사망[명],-,-,23,-,1,0
대전,서구,부상[명],-,-,"3,349",-,15,12
대전,유성구,사고[건],-,-,"1,695",-,36,40
대전,유성구,사망[명],-,-,13,-,1,0
대전,유성구,부상[명],-,-,"2,552",-,61,53
대전,대덕구,사고[건],-,-,909,-,32,18
대전,대덕구,사망[명],-,-,9,-,0,0
대전,대덕구,부상[명],-,-,"1,322",-,72,27
울산,중구,사고[건],-,-,618,-,-,1
울산,중구,사망[명],-,-,6,-,-,0
울산,중구,부상[명],-,-,906,-,-,3
울산,남구,사고[건],-,-,"1,137",-,-,6
울산,남구,사망[명],-,-,8,-,-,0
울산,남구,부상[명],-,-,"1,484",-,-,7
울산,동구,사고[건],-,-,435,-,-,1
울산,동구,사망[명],-,-,4,-,-,0
울산,동구,부상[명],-,-,526,-,-,1
울산,북구,사고[건],-,-,737,-,-,-
울산,북구,사망[명],-,-,7,-,-,-
울산,북구,부상[명],-,-,"1,107",-,-,-
울산,울주군,사고[건],-,-,675,-,44,10
울산,울주군,사망[명],-,-,12,-,2,1
울산,울주군,부상[명],-,-,988,-,81,11
세종,세종시,사고[건],260,91,-,752,2,61
세종,세종시,사망[명],3,1,-,7,1,1
세종,세종시,부상[명],424,144,-,"1,085",1,70
경기,용인시,사고[건],"1,077",308,-,"1,366",258,602
경기,용인시,사망[명],9,5,-,6,10,3
경기,용인시,부상[명],"1,609",416,-,"1,823",858,859
경기,안성시,사고[건],312,181,-,385,135,55
경기,안성시,사망[명],4,5,-,7,2,1
경기,안성시,부상[명],505,275,-,564,298,80
경기,김포시,사고[건],711,150,-,530,42,363
경기,김포시,사망[명],6,0,-,6,0,1
경기,김포시,부상[명],"1,100",242,-,808,58,471
경기,동두천시,사고[건],48,6,-,251,-,9
경기,동두천시,사망[명],2,0,-,3,-,0
경기,동두천시,부상[명],60,7,-,333,-,12
경기,과천시,사고[건],60,1,-,88,-,2
경기,과천시,사망[명],1,0,-,1,-,0
경기,과천시,부상[명],85,1,-,123,-,2
경기,군포시,사고[건],38,59,-,326,62,3
경기,군포시,사망[명],0,0,-,4,1,0
경기,군포시,부상[명],58,96,-,429,116,5
경기,남양주시,사고[건],344,471,-,894,84,149
경기,남양주시,사망[명],5,6,-,10,0,0
경기,남양주시,부상[명],518,678,-,"1,320",187,217
경기,오산시,사고[건],297,52,-,545,66,38
경기,오산시,사망[명],2,1,-,3,0,0
경기,오산시,부상[명],421,75,-,723,176,45
경기,의왕시,사고[건],93,46,-,114,50,61
경기,의왕시,사망[명],1,0,-,0,2,1
경기,의왕시,부상[명],141,93,-,168,89,76
경기,하남시,사고[건],350,39,-,248,185,383
경기,하남시,사망[명],3,1,-,1,1,3
경기,하남시,부상[명],510,50,-,317,346,515
경기,수원시,사고[건],"1,548",190,-,"2,726",76,204
경기,수원시,사망[명],6,3,-,20,1,0
경기,수원시,부상[명],"2,252",303,-,"3,710",160,263
경기,성남시,사고[건],538,26,-,"2,524",236,514
경기,성남시,사망[명],2,0,-,13,4,1
경기,성남시,부상[명],728,42,-,"3,516",702,690
경기,의정부시,사고[건],704,31,-,742,45,7
경기,의정부시,사망[명],10,1,-,0,1,0
경기,의정부시,부상[명],946,41,-,"1,054",86,10
경기,안양시,사고[건],277,15,-,871,68,32
경기,안양시,사망[명],2,0,-,14,2,0
경기,안양시,부상[명],381,21,-,"1,216",137,39
경기,부천시,사고[건],868,26,-,"2,448",57,79
경기,부천시,사망[명],2,0,-,18,0,0
경기,부천시,부상[명],"1,170",28,-,"3,238",89,93
경기,안산시,사고[건],883,27,-,"2,277",102,444
경기,안산시,사망[명],4,0,-,11,1,3
경기,안산시,부상[명],"1,311",45,-,"3,282",161,606
경기,평택시,사고[건],877,162,-,"1,632",169,639
경기,평택시,사망[명],12,1,-,12,9,5
경기,평택시,부상[명],"1,324",236,-,"2,350",406,816
경기,광명시,사고[건],128,56,-,794,37,32
경기,광명시,사망[명],0,1,-,6,0,0
경기,광명시,부상[명],173,75,-,"1,093",80,46
경기,구리시,사고[건],130,69,-,321,149,33
경기,구리시,사망[명],2,1,-,2,3,0
경기,구리시,부상[명],191,114,-,445,244,42
경기,양주시,사고[건],116,98,-,929,48,36
경기,양주시,사망[명],0,1,-,9,0,0
경기,양주시,부상[명],158,125,-,"1,307",81,38
경기,여주시,사고[건],116,57,-,142,79,126
경기,여주시,사망[명],2,1,-,5,2,2
경기,여주시,부상[명],186,97,-,233,238,167
경기,화성시,사고[건],541,330,-,"1,627",226,628
경기,화성시,사망[명],5,4,-,13,4,7
경기,화성시,부상[명],839,477,-,"2,335",566,856
경기,시흥시,사고[건],"1,027",141,-,686,113,210
경기,시흥시,사망[명],14,0,-,5,2,2
경기,시흥시,부상[명],"1,559",214,-,"1,083",176,297
경기,파주시,사고[건],340,184,-,"1,191",12,3
경기,파주시,사망[명],7,3,-,10,0,0
경기,파주시,부상[명],479,265,-,"1,687",22,6
경기,고양시,사고[건],217,131,-,"3,101",99,55
경기,고양시,사망[명],2,0,-,24,0,0
경기,고양시,부상[명],350,193,-,"4,512",174,67
경기,광주시,사고[건],366,71,-,798,84,810
경기,광주시,사망[명],7,0,-,7,2,2
경기,광주시,부상[명],573,115,-,"1,155",181,"1,209"
경기,연천군,사고[건],48,25,-,102,-,1
경기,연천군,사망[명],2,1,-,3,-,0
경기,연천군,부상[명],80,39,-,128,-,2
경기,포천시,사고[건],271,118,-,217,8,38
경기,포천시,사망[명],7,1,-,6,1,0
경기,포천시,부상[명],462,197,-,317,31,105
경기,가평군,사고[건],113,39,-,191,11,3
경기,가평군,사망[명],2,0,-,6,0,2
경기,가평군,부상[명],216,67,-,292,16,2
경기,양평군,사고[건],107,112,-,186,31,68
경기,양평군,사망[명],3,1,-,3,1,1
경기,양평군,부상[명],193,196,-,247,84,120
경기,이천시,사고[건],196,205,-,434,73,79
경기,이천시,사망[명],7,3,-,11,2,7
경기,이천시,부상[명],333,315,-,588,174,97
